channel,section,playlist,video,link,time,views,publication date,likes,dislikes,description
zacefroncom,no sections,Gym Time w/ Zac Efron,DUDE PERFECT takes over Gym Time | Gym Time w/ Zac Efron,https://youtu.be/lLSDe9Oyk9Q,8:41,," Nov 26, 2019","55,054",690,"If you watch Dude Perfect, you know that these guys know how to have a good time, and love a little friendly competition. So today on Gym Time, competition is our motivation. The Dudes and I tackled a series of partner workout challenges that tested our focus, balance, and teamwork. Stay tuned to see who comes out on top!SUBSCRIBE for NEW videos every week! http://bit.ly/Sub2Efron About Gym Time:Gym Time is a weekly show where I train with athletes, celebrities, and interesting people alike to get a sense of who they are and what their goals are.Follow Me:INSTAGRAM  ➤ https://www.instagram.com/zacefronFACEBOOK  ➤ https://www.facebook.com/zacefronTWITTER  ➤ https://twitter.com/zacefronFollow Dude Perfect: YOUTUBE ➤ https://www.youtube.com/DudePerfectINSTAGRAM  ➤ http://Instagram.com/DudePerfectFACEBOOK  ➤ https://www.facebook.com/DudePerfectTWITTER  ➤ https://twitter.com/DudePerfectFilming by ➤  https://www.instagram.com/getstoked.laGym ➤ https://www.instagram.com/musclepharm/About Zac Efron:Hello Youtube! Remember to check back weekly for my travel adventure series “Off the Grid”, or for my workout and interview show “Gym Time”. You can expect to see adventures, workouts, nutrition and other sneak peeks inside my life. Hope you like it and don’t forget to subscribe. DUDE PERFECT takes over Gym Time | Gym Time w/ Zac Efronhttps://youtu.be/lLSDe9Oyk9Q Zac Efronhttps://www.youtube.com/zacefron"
zacefroncom,no sections,Gym Time w/ Zac Efron,LIZA KOSHY Is My New Workout Buddy | Gym Time w/ Zac Efron,https://youtu.be/dTjUL22bwLE,8:41,," Nov 19, 2019","103,736",955,"Liza Koshy is an incredibly inspiring creator, but she’s even more inspiring in the gym! On this episode of Gym Time, we tried some workouts that tested our balance, flexibility and focus. And Liza tried to get me to dance. Grab a workout buddy and try these workouts yourself!SUBSCRIBE for NEW videos every week! http://bit.ly/Sub2Efron About Gym Time:Gym Time is a weekly show where I train with athletes, celebrities, and interesting people alike to get a sense of who they are and what their goals are.Follow Me:INSTAGRAM  ➤ https://www.instagram.com/zacefronFACEBOOK  ➤ https://www.facebook.com/zacefronTWITTER  ➤ https://twitter.com/zacefronFollow Liza: YOUTUBE ➤ https://www.youtube.com/LizaKoshyINSTAGRAM  ➤ https://www.instagram.com/lizakoshyFACEBOOK  ➤ https://www.facebook.com/thelizakoshyTWITTER  ➤ https://twitter.com/lizakoshyFilming by ➤  https://www.instagram.com/getstoked.laGym ➤ https://www.instagram.com/musclepharm/About Zac Efron:Hello Youtube! Remember to check back weekly for my travel adventure series “Off the Grid”, or for my workout and interview show “Gym Time”. You can expect to see adventures, workouts, nutrition and other sneak peeks inside my life. Hope you like it and don’t forget to subscribe. LIZA KOSHY Is My New Workout Buddy | Gym Time w/ Zac Efronhttps://youtu.be/dTjUL22bwLE Zac Efronhttps://www.youtube.com/zacefron"
zacefroncom,no sections,Gym Time w/ Zac Efron,Juju Smith-Schuster Smoked This NFL Workout | Gym Time w/ Zac Efron,https://youtu.be/BifAFA-g9HE,7:51,," Aug 29, 2019","21,067",166,"Hitting the gym with Juju Smith-Schuster. My top fantasy football scorer gives me a taste of what an All-pro NFL Wide Receiver really trains like. This week we’re working on explosiveness, quick feet, and core strength. When I was ready to give up, Juju came through clutch with some motivation that kept me cruising through the finale. Keep watching to the end to find out the secret sauce to Juju's iconic celebrations 👀😜SUBSCRIBE for NEW videos every week! http://bit.ly/Sub2Efron About Gym Time:Gym Time is a weekly show where I train with athletes, celebrities, and interesting people alike to get a sense of who they are and what their goals are.Follow Me:INSTAGRAM  ➤ https://www.instagram.com/zacefronFACEBOOK  ➤ https://www.facebook.com/zacefronTWITTER  ➤ https://twitter.com/zacefronFollow Juju Smith-Schuster: INSTAGRAM  ➤ https://www.instagram.com/juju/YOUTUBE ➤ https://www.youtube.com/channel/UCGSv...Filming by ➤  https://www.instagram.com/getstoked.laGym ➤ https://www.instagram.com/musclepharm/Song List:I Came Up by ShaboozyPower Rangers by SLO White, Luke Valassis & Lil Razor ScooterAbout Zac Efron:Hello Youtube! Remember to check back weekly for my travel adventure series “Off the Grid”, or for my workout and interview show “Gym Time”. You can expect to see adventures, workouts, nutrition and other sneak peeks inside my life. Hope you like it and don’t forget to subscribe. Explosive NFL Workout w/ Pittsburgh Steeler Juju Smith-Schusterhttps://www.youtube.com/watch?v=BifAF... Zac Efronhttps://www.youtube.com/zacefron"
zacefroncom,no sections,Gym Time w/ Zac Efron,Baywatch Abs with Alexandra Daddario | Gym Time w/ Zac Efron,https://youtu.be/1wJLKKZMxPc,8:58,," Jul 9, 2019","203,221","2,536","My Baywatch co-star Alexandra Daddario joins me today for a killer core workout.  We couldn't help but to reminisce about our carb-less days preparing for Baywatch while we did a combo of untraditional core movements. I may or may have not lost to her in a sit up competition... Stay tuned to see who gets punished!SUBSCRIBE for NEW videos every week! http://bit.ly/Sub2Efron About Gym Time:Gym Time is a weekly show where I train with athletes, celebrities, and interesting people alike to get a sense of who they are and what their goals are.Follow Me:INSTAGRAM  ➤ https://www.instagram.com/zacefronFACEBOOK  ➤ https://www.facebook.com/zacefronTWITTER  ➤ https://twitter.com/zacefronFollow Alexandra Daddario: INSTAGRAM  ➤ https://www.instagram.com/alexandrada...Filming by ➤  https://www.instagram.com/getstoked.laSong List:Rooting by SLO White, Luke Valassis, & Lil Razor ScooterAbout Zac Efron:Hello Youtube! Remember to check back weekly for my travel adventure series “Off the Grid”, or for my workout and interview show “Gym Time”. You can expect to see adventures, workouts, nutrition and other sneak peeks inside my life. Hope you like it and don’t forget to subscribe. Baywatch Abs with Alexandra Daddario | Gym Time w/ Zac Efronhttps://youtu.be/1wJLKKZMxPc Zac Efronhttps://www.youtube.com/zacefron"
zacefroncom,no sections,Gym Time w/ Zac Efron,Earning My Victoria’s Secret Angel Wings | Gym Time w/ Zac Efron,https://youtu.be/58zE0ld6Njw,6:34,," May 28, 2019","81,014",696,"I wondered what it must take to get a Victoria’s Secret Angel body so I called my friends to join me for a workout. We sweated through an intense circuit that included elevated crunches, Russian twists, pull up rows, sumo squats, dumbbell curls, basketball and to top it off a little friendly competition. Lots of love to Jasmine Tookes, Sara Sampaio, Josephine Skriver and Kelsey Merritt for bringing it!SUBSCRIBE for NEW videos every week! http://bit.ly/Sub2Efron About Gym Time:Gym Time is a weekly show where I train with athletes, celebrities, and interesting people alike to get a sense of who they are and what their goals are.Follow Me:INSTAGRAM  ➤ https://www.instagram.com/zacefronFACEBOOK  ➤ https://www.facebook.com/zacefronTWITTER  ➤ https://twitter.com/zacefronFollow Jasmine Tookes: INSTAGRAM  ➤ https://www.instagram.com/jastookesFollow Sara Sampaio: INSTAGRAM  ➤ https://www.instagram.com/sarasampaioFollow Josephine Skriver: INSTAGRAM  ➤ https://www.instagram.com/josephinesk...Follow Kelsey Merritt: INSTAGRAM  ➤ https://www.instagram.com/kelseymerrittFilming by ➤  https://www.instagram.com/getstoked.laAbout Zac Efron:Hello Youtube! Remember to check back weekly for my travel adventure series “Off the Grid”, or for my workout and interview show “Gym Time”. You can expect to see adventures, workouts, nutrition and other sneak peeks inside my life. Hope you like it and don’t forget to subscribe. Earning My Victoria’s Secret Angel Wings | Gym Time w/ Zac Efronhttps://youtu.be/58zE0ld6Njw Zac Efronhttps://www.youtube.com/zacefron"
zacefroncom,no sections,Gym Time w/ Zac Efron,My Chest and Back Day Workout With Actor Geoff Stults | Gym Time w/ Zac Efron,https://youtu.be/kZ4lz_2d-5k,8:48,," Apr 26, 2019","19,325",132,"This Gym Time I’m joined by friend, actor and triathlete Geoff Stults. Today’s workout focuses on pushing and pulling movements to target the chest and back. While we workout, Geoff recounts what it was like to live through the giant Woolsey fire in Malibu. Watch to the end for bone-chilling questions in the Cryo Sauna!SUBSCRIBE for NEW videos every week! http://bit.ly/Sub2Efron About Gym Time:Gym Time is a weekly show where I train with athletes, celebrities, and interesting people alike to get a sense of who they are and what their goals are.Follow Me:INSTAGRAM  ➤ https://www.instagram.com/zacefronFACEBOOK  ➤ https://www.facebook.com/zacefron/TWITTER  ➤ https://twitter.com/zacefronFollow Geoff: INSTAGRAM  ➤ https://www.instagram.com/geoffmstultsTWITTER ➤ https://twitter.com/geoffstultsFACEBOOK ➤ https://www.facebook.com/geoffstults/Filming by ➤  https://www.instagram.com/getstoked.laGym Courtesy of ➤  https://www.instagram.com/vitru_laSong List:Faithful by Shaboozey  Artist Credits: Shaboozey  Spotify ➤ https://open.spotify.com/artist/3y2cI...Shaboozey Instagram ➤ https://www.instagram.com/shaboozey About Zac Efron:Hello Youtube! Remember to check back weekly for my travel adventure series “Off the Grid”, or for my workout and interview show “Gym Time”. You can expect to see adventures, workouts, nutrition and other sneak peeks inside my life. Hope you like it and don’t forget to subscribe. My Chest and Back Day Workout With Actor Geoff Stultshttps://youtu.be/kZ4lz_2d-5k Zac Efronhttps://www.youtube.com/zacefron"
zacefroncom,no sections,Gym Time w/ Zac Efron,I Train with NFL Great Marcedes Lewis | Gym Time w/ Zac Efron,https://youtu.be/tCFjzDC5T0M,10:23,," Apr 18, 2019","41,724",251,"Watch me take on an NFL training session with Pro Bowler Marcedes Lewis. Do I keep up or give up? Keep watching to the end to see me interview Marcedes in the ice-cold Cryo Sauna!SUBSCRIBE for NEW videos every week! http://bit.ly/Sub2Efron About Gym Time:Gym Time is a weekly show where I train with athletes, celebrities, and interesting people alike to get a sense of who they are and what their goals are.Follow Me:INSTAGRAM  ➤ https://www.instagram.com/zacefronFACEBOOK  ➤ https://www.facebook.com/zacefron/TWITTER  ➤ https://twitter.com/zacefronFollow Marcedes: INSTAGRAM  ➤ https://www.instagram.com/marcedeslewisFACEBOOK  ➤  https://www.facebook.com/OfficialMarc...TWITTER  ➤ https://twitter.com/marcedeslewis89Follow Jamal:INSTAGRAM ➤  https://www.instagram.com/jamalligginFilming by ➤  https://www.instagram.com/getstoked.laGym Courtesy of ➤  https://www.instagram.com/vitru_laSong List:Angels by Shaboozey Not For Me by Shaboozey5 Years Later by Shaboozey Artist Credits: Shaboozey  Spotify ➤ https://open.spotify.com/artist/3y2cI...Shaboozey Instagram ➤ https://www.instagram.com/shaboozey/ About Zac Efron:Hello Youtube! Remember to check back weekly for my travel adventure series “Off the Grid”, or for my workout and interview show “Gym Time”. You can expect to see adventures, workouts, nutrition and other sneak peeks inside my life. Hope you like it and don’t forget to subscribe. I Train With NFL Great Marcedes Lewishttps://youtu.be/tCFjzDC5T0M Zac Efronhttps://www.youtube.com/zacefron"
zacefroncom,no sections,Gym Time w/ Zac Efron,Nina Dobrev Crushes my Workout | Gym Time w/ Zac Efron,https://youtu.be/pR3etHshl8k,9:38,," Apr 4, 2019","253,137","2,153","Nina Dobrev shares her competitive nature and workout drip. Follow along as we do some booty poppin’ workouts, attempt to look like Brad Pitt and share some cold hard facts in the cryo-sauna!SUBSCRIBE for NEW videos every week! http://bit.ly/Sub2EfronAbout Gym Time:Gym Time is a weekly show where I train with athletes, celebrities, and interesting people alike to get a sense of who they are and what their goals are.Follow Me:INSTAGRAM  ➤ https://www.instagram.com/zacefronFACEBOOK  ➤ https://www.facebook.com/zacefron/TWITTER  ➤ https://twitter.com/zacefronFollow Nina:INSTAGRAM  ➤ https://www.instagram.com/ninaFACEBOOK  ➤ https://www.facebook.com/ninadobrevTWITTER  ➤ https://twitter.com/ninadobrevFilming by ➤  https://www.instagram.com/getstoked.laArtist Credits: Shaboozey  Spotify ➤ https://open.spotify.com/artist/3y2cI...Shaboozey Instagram ➤ https://www.instagram.com/shaboozey/Gym Courtesy of:  https://www.instagram.com/vitru_la About Zac Efron:Hello Youtube! Remember to check back weekly for my travel adventure series “Off the Grid”, or for my workout and interview show “Gym Time”. You can expect to see adventures, workouts, nutrition and other sneak peaks inside my life. Hope you like it and don’t forget to subscribe.Nina Crushes Zac’s Workout | Gym Time w/ Zac Efronhttps://youtu.be/pR3etHshl8kZac Efronhttps://www.youtube.com/zacefron"
zacefroncom,no sections,Off The Grid w/ Zac Efron,We Spent 96 Hours In The Desert… | Off The Grid w/ Zac Efron,https://youtu.be/HiSj8lIBK5I,10:58,,"r 30, 2019","53,567",449,"Its official guys. I’m on YouTube!SUBSCRIBE for NEW videos every week! http://bit.ly/Sub2EfronAbout Off The Grid:Outdoors and adventure with my best friend and brother, Dylan. Come along with us as we travel the world and get out of our comfort zones! Follow Me:INSTAGRAM ➤ https://www.instagram.com/zacefronFACEBOOK ➤ https://www.facebook.com/zacefron/TWITTER ➤ https://twitter.com/zacefronFilming by ➤  https://www.instagram.com/getstoked.laArtist Credits:Walter Mitty and his Makeshift Orchestra Instagram ➤ https://www.instagram.com/walteretcWalter Mitty and His Makeshift Orchestra Spotify ➤ https://open.spotify.com/artist/1iuJN...About Zac Efron:Hello Youtube! Remember to check back weekly for my travel adventure series “Off the Grid”, or for my workout and interview show “Gym Time”. You can expect to see adventures, workouts, nutrition and other sneak peeks inside my life. Hope you like it and don’t forget to subscribe.We Spent 96 Hours In The Desert… | Off The Gridhttps://youtu.be/HiSj8lIBK5IZac Efronhttps://www.youtube.com/zacefron"
zacefroncom,no sections,Off The Grid w/ Zac Efron,How I Tore My ACL Skiing… | Off The Grid w/ Zac Efron,https://youtu.be/AiPXZXd-Hf0,4:21,," Apr 12, 2019","23,715",124,"Dylan and I go cat-skiing outside of Park City, Utah. Deep powder and two years away from skiing... Should have seen this coming! 😅About Off The Grid:Outdoors and adventure with my best friend and brother, Dylan. Come along with us as we travel the world and get out of our comfort zones!  Follow Me:INSTAGRAM  ➤ https://www.instagram.com/zacefronFACEBOOK  ➤ https://www.facebook.com/zacefron/TWITTER  ➤ https://twitter.com/zacefron Follow The Crew:Dylan Efron ➤ https://www.instagram.com/dylanefronGeoff Stults ➤ https://www.instagram.com/geoffmstultsBrian Hammers ➤ https://www.instagram.com/brianhammers/ Filming by ➤  https://www.instagram.com/getstoked.laSong List:Not My Day (Mick Schultz Remix) by Keith JamesGloom Cruise by Walter Mitty and his Makeshift OrchestraArtist Credits:Keith James Instagram ➤ https://www.instagram.com/whoiskeithj...Keith James Spotify ➤ https://open.spotify.com/album/0iG0B3...Keith James Apple Music ➤ https://itunes.apple.com/us/album/not...Mick Schultz Instagram ➤ https://www.instagram.com/mickschultzWalter Mitty and his Makeshift Orchestra Instagram ➤ https://www.instagram.com/walteretcWalter Mitty and His Makeshift Orchestra Spotify ➤ https://open.spotify.com/artist/1iuJN...About Zac Efron:Hello Youtube! Remember to check back weekly for my travel adventure series “Off the Grid”, or for my workout and interview show “Gym Time”. You can expect to see adventures, workouts, nutrition and other sneak peeks inside my life. Hope you like it and don’t forget to subscribe.How I Tore My ACL Skiing… | Off The Gridhttps://www.youtube.com/watch?v=AiPXZ...Zac Efronhttps://www.youtube.com/zacefron"
